estrella|texto|lugar
50|Es un lugar interesante para visitar, puedes ver que dinero puedes comprar incluso despues de la muerte. La tumba de Eva Person es lo mas destacado de la visita.|recoleta
40|Aunque no esta tan bien mantenido como La Recoleta en Buenos Aires, este cementerio todavia cuenta con una larga lista de notables paraguayos. Hay algunas tumbas y monumentos hermosos y muy bien cuidados. Tambien hay criptas que se estan desmoronando con los ataudes expuestos. Interesante en general por muchas razones (historia, arquitectura, arte, cultura), pero podria necesitar un poco mas de mantenimiento. Cabe destacar que abre temprano para que pueda hacer una parada antes de comenzar a hacer turismo en otro lugar.|recoleta
50|"Luego visitaremos este cementerio. Ver las diferencias entre ricos y pobres muertos. La profesion ""mantenimiento de bovedas de enterramiento"" realmente existe. Incluso hay una tumba con aire acondicionado. Varias personas simplemente viven aqui (la barbacoa esta oliendo, los gatos se alimentan, ...) Recomendado."|recoleta
40|El lugar es muy antiguo y diferente. Esta situado en una zona muy concurrida de Asuncion tienes que tener cuidado cuando caminas alrededor|recoleta
50|Tengo que admitir que no es para todo el mundo, pero creci al lado de uno de los mas grandes cementerios en el mundo, asi que aun mi interes. Que maravilloso laberinto de criptas y mausoleos, salpicado de santuarios y templos. Me hubiera gustado tener mas tiempo para pasear y tomar en verdad la forma en que la gente de Asuncion han elegido para recordar, honrar y cultivar sus seres queridos que han transmitido.|recoleta
50|Este es un cementerio urbano que fue creado hace mucho tiempo por una orden catolica, y dentro se puede ver la antigua arquitectura de algunos de hacer familias. Algunos de los edificios tienen aire acondicionado interior para la familias, por supuesto!|recoleta
40|El Palacio de Gobierno del Paraguay, se encuentra cerca al rio y por tanto la costanera. Es un bellisimo edificio caracteristico de la capital paraguaya, es la postal tradicional de una visita a Asuncion y sede del gobierno paraguayo. No dejen de pasar por el lugar rodeado de hermosos jardines.|palacio
40|bonito lugar, se ve solo desde afuera, muy lindos los jardines y de noche con luces prendidas mejor.|palacio
50|Sobre la costera esta el palacio de gobiernoSolo hay que tener cuidado con la colonia de bajos recursos que esta por el rumboRecomiendo la fotoEn las letras de ASUNCION y en la parte de atras queda el palacio 👍🏼|palacio
20|Es uno de los pocos buenos lugares para ver, pero limitan su acceso. No se permite acercarse a la construccion.|palacio
40|tambien llamado usualmente Palacio de Gobierno o Palacio Presidencial, es la sede del gobierno de la Republica del Paraguay, debido a que ahi se encuentra el despacho oficial del presidente de la Republica. Es uno de los edificios mas emblematicos de la capital paraguaya,. Fue construido en estilo neoclasico con cierta influencia palladiana. Se inicio la construccion en 1857 y parada la obra por una gran guerra e inaugurado en el año 1892.|palacio
40|La casa de gobierno es uno de los lugares culturales en centro historico que esta muy bien conservado.|palacio
50|Antiguo, muy bien conservado, muy grande, hermosos jardines, la parte de atras da al rio con una vista genial.|palacio
50|Quizas el punto turistico mas caracteristico de asuncion. En la zona colonial, cerca del rio y a metros del centro de la ciudad es visita obligada. Encantador.|palacio
50|Es un edificio con un estilo arquitectonico muy elegante. Ubicado en un sector donde hay muchas dependencias del gobierno. En su interior alberga la oficina sel presidente paraguayo.|palacio
50|Si venis a Asuncion no podes volver sin llevar una foto frente a el Palacio de Gobierno, un lugar sin dudas hermoso|palacio
30|Es muy bonito. Historico, y esta muy bien cuidado. Lamentablemente la visita es solo por fuera. Aproveche para visitar la Av. Costanera y el letrero de Asucnion que estan justo detras del edificio.|palacio
40|La construccion es linda e interesante. Lo unico malo es que: tomas la foto desde fuera y ya... eso es todo. Un letrero grande de Asuncion cerca (dificil con el calor), pero bien.|palacio
40|Es el Palacio de Gobierno, que viene de la epoca de los Lopez, recomendado visitarlo, mejor hacerlo de dia.|palacio
40|Muy Bonita arquitectura y limpio .nos guato mucho su color y la forma que Tiene .fue un entretenido paseo familiar|palacio
50|Uno de los lugares historicos mas importantes del Paraguay. Sin dudas un gran atractivo turistico. Aunque no lo parezca el frente del edificio no es eso que se ve sino el lado contrario que da con la bahia de Asuncion. Tambien es posible observarlo desde ese punto y tomar buenas fotos.|palacio
50|En una zona de paseo y en centro. Al lado de la costanera es un lugar interesante para visitar en la ciudad.|palacio
40|Es la sede actual del Gobierno en el Paraguay. Es solamente verlo sin poder acceder en su interior. Frente a esta fachada, en la manzana vecina es posible quedar y observarla en terrazas de sitios gastronomicos y culturales.|palacio
40|Se encuentra ubicado frente a la costanera y a pocos metros del congreso. Es decir, en el centro de Asuncion. Antiguamente era utilizada como residencia presidencial pero en la actualidad esta deshabitada. Su estilo colonial y su buen estado de conservacion lo destacan del resto de los palacetes. Recomendable para ir y recorrer.|palacio
50|Historica construccion de corte frances. Actualmente es la casa de gobierno. El frente del mismo da hacia el rio Paraguay.|palacio
50|No entre, pero por fuera es muy lindo y esta bastante bien mantenido. Se puede ver desde la costanera donde hay un letrero de Asuncion y desde la fachada principal.|palacio
20|El edificio es arquitectonicamente maravilloso, sin embrago, el descuido en mantencion y s evidente a la vista, dada la importancia del lugares de debisen preocuparse mantenerlo en excelente|palacio
50|No entre al Palacio de Gobierno. Pero rescato su arquitectura y belleza a simple vista. Imperdible. Y a la vuelta se encuentra la Costanera con el cartel de Asuncion, muy lindo.|palacio
40|La sede del gobierno se roba las miradas por su estilo neoclasico y el colorido con el cual esta actualmente pintado. Llaman la atencion sus cuidados jardines, sin embargo, el entorno esta tan descuidado que sus gobernantes deberian mirar un poco mas fuera de los muros del palacio de gobierno.|palacio
50|Lindo para sacarse fotos de noche desde el bar que esta en frente y tiene una terraza especial para eso. La mejor vista igual es desde la costanera, donde se ve el original frente del Palacio.|palacio
40|La ambientacion estilo colonial le da un toque unico al palacio de Lopez. Viniendo de un pais donde la casa de gobierno se encuentra vallada (argentina) tener esa cercania con un edificio gubernamental de tal importancia.|palacio
50|Edificacion imponente que sirvio de un primer momento como sede de Gobierno y residencia del Presidente de la Republica. Hoy con la inauguracion de la costanera el acceso al rio le dà una vista imponente desde la costa. Uno de los edificios mas emblematicos y visitados en Asuncion. Visita obligatoria y recomendada.|palacio
30|Sitio infaltable en la visita a Asuncion, tener en cuenta que la hora de visita y hasta la que permiten fotos es limitada en la tarde. Pero es ahi cuando las fotos de recuerdo se hacen mas lindas|palacio
30|Exteriormente un hermoso palacio. Podrian abrir para visitas internas con guia. Podria tener una tienda con souvenirs sobre el Palacio.|palacio
30|La casa de gobierno es un edificio grande, bien cuidado, con jardines limpios y fotogenicos. A 100 metros del edificio estan las calles muy sucias de Asuncion, cientos de familias viviendo en la calle (en condiciones inhumanas), veredas rotas, etc. Si alguien quiere ver contrastes, vaya para alla.|palacio
40|Como parte del recorrido por la costanera, y de fondo de las mejores fotos, vale la pena apreciar este hermoso edificio, una verdadera joya de la arquitectura del Paraguay.|palacio
40|Bonita postal frente al cartel turistico de Asuncion y en el comoenzo de la costanera, a metros del centro historico|palacio
40|Es un lindo palacio sobre la bahia de Asuncion. Tiene muchisima seguridad y no se puede acercar. Lo pude apreciar mejor desde un parque lateral al que por suerte me permitieron acceder, aunque estaba lleno de policias.Por la vista completa y el entorno vale la pena.|palacio
50|Me parecio muy lindo el palacio de gobierno, con unos jardines preciosos, muy bien tenidos, y obviamente con harta seguridad. Se ve muy colorido y alegre, y de noche iluminado, mas ahora que estamos cerca de navidad. Vayan a verlo de dia y luego de noche.|palacio
50|Lugar con muchisima historia. Excelente vista a la bahia de Asuncion.Vale la pena conocer cada una de las dependencias.|palacio
50|La verdad el Palacio es muy bello, tienes 2 panoramicas que es de frente y de la parte trasera donde pueden ver las letras que dicen Asuncion, muy bello y recomendable|palacio
30|Dimos una vuelta en auto por el centro de Asuncion para ver de noche algunos de los monumentos historicos. Tanto la catedral, como el Palacio de Gobierno y el panteon de los heroes son edificios neoclasicos y estan todos iluminados.Lo que es una verdadera pena, es que se haya perdido completamente su contexto, ya que claramente fue destruido y reconstruido con edificios modernos en la segunda mitad del siglo XX.Desafortunadamente la calidad de estas nuevas edificaciones no es buena, por lo que transforma y afecta de una manera muy importante a los edificios historicos. Estos corresponden a un periodo de finales del siglo XIX y principios del XX.Me gustaria ver imagenes de esa epoca donde estoy seguro existio una coherencia estilistica mucho mayor.|palacio
30|Es una belleza por fuera. Mas ahora que esta pintado.Peeeeeeeeeeeeero, no esta permitido entrar ni recorrer, asi que vas, la foto y chau.Deberian organizar recorridos interiores como se hacen en otros paises.|palacio
50|Lugar tradicional,bello edificio con mucha historia a orillas del Rio,imperdible visita muy buenas fotos podras obtener|palacio
30|He almorzado en este lugar por un evento deportivo que se desarrollo en Iguazu. Es un lugar sencillo con muy buenas ensaladas y variadas .No asi el plato principal donde hay poco que elegir. Es un buen lugar para comer sobretodo ensaladas ya que el buffet ofrece bastante variedad. Te cobran por peso lo que consumis.|palacio
50|Importante muestra de la rica historia de Asuncion,en la bella costanera.Un grandioso ejemplo de arquitetura clasica paraguaya.Una visita oblicatoria para experimentar lo grandioso historico desde fantastico pueblo Guarani !!!!|palacio
30|Lindo lugar para visitar por la noche y verlo iluminado.Me gusto la simetria de la construccion esta cerca de la Costanera.|palacio
40|Hermoso edificio para observar y fotografiar,lamentablemente no se puede visitar.SE pueden observar los vidrios trabajados y distintas ornamentaciones.|palacio
30|El edificio por fuera, yo no lo pude visitar por adentro, es testigo de una etapa de la arquitectura local. Vale la pena verlo en el recorrido por el Centro de Asuncion.|palacio
30|Es un lugar que solo da para tomar fotos. Al menos en mi visita no hubieron mayores atracciones. NO hay informacion cercana, unicamente los agentes de seguridad a los que es recomendable consultarles antes de hacer una foto.|palacio
40|Es un cosntruccion antigua de la epoca del 1800, en principio se construyo para la casa particular del Mariscal Francisco Solano Lopez que era el gobernante de la epoca y luego paso a ser La Casa de Gobierno hasta la fecha. es digno de visitar|palacio
50|Un lugar Historico en el casto antiguo de Asuncion, Paraguay. aun mantiene su estilo clasico colonial propio de la epoca. Ademas dentro de sus mejoras han instalado en el palacio de Gobierno Luces de colores que le dan vida al palacio al llegar a la noche y un paisaje bien logrado visible de la costa Paraguaya,|palacio
50|edificio arquitectonico que alberga al gobierno de turno de paraguay a orillas del rio ,lindo lugar para conocer al lado de un museo y restaurante|palacio
40|Desde nuestro recorrido visitamos el Palacio de Gobierno pero solo por afuera porque no se permite la entrada|palacio
40|Es un edificio bien lindo con jardin al cual solo puedes estar en la banqueta y se ahi tomar fotos, el acceso esta restringido si siquiera al jardin osea que la foto desde el taxi la puse haber tomado desde el taxi.|palacio
40|Si estàs en la ciudad debes ir sin falta. Es muy bonito y pintoresco, ideal para unas lindas fotografias.|palacio
40|Sin dudas es un punto a conocer muy importante frente a la bahia de Asuncion. Aunque no se permite el ingreso al interior, bien vale acercarse para tomarse unas fotos en sus alrededores y con el cartel que indica el nombre de la ciudad|palacio
50|Bellisimo lugar, tranquilo por las mañanas y hasta mitad de la tarde, si bajas con direccion a la costanera puedes ver el edificio en su maximo esplendor.|palacio
30|¿Como podria un turista hacer un viaje a Asuncion y no pasar por alli? La zona hacia la ciudad no es particularmente buena, pero si ves la edificacion desde su costanera, tendras una perspectiva mejor para sacar fotos.Alli te encontraras con el clasico cartel con el nombre de la ciudad,que te permitira tener un buen recuerdo de tu visita.|palacio
30|Experiencia tipica. Es interesante. Es de los tipicos palacios de la colonia. Si estuviste en otros de la region podras ver algo similar.|palacio
30|Aunque tiene una edificacion imponente y llamativa, no es distinto a cientos de edificios publicos o de Gobierno de varios paises americanos.|palacio
50|Visto desde fuera, o sentado al frente en uno de los restaurantes mas emblematicos de la ciudad, se alza el Palacio de Gobierno que nos muestra la majestuosidad de un pueblo y de un lugar donde se han debatido situaciones complejas de la historia del Paraguay. Entre sus paredes vamos hacia un pasado silencioso que nos muestra que, en pleno siglo XXI ha permanecido estoico acompañando a los paraguayos y evidenciando la riqueza de una idiosincrasia que en pleno siglo XXI parece susurrarnos al oido leyendas fantasticas de una ciudad que siempre esta viva.|palacio
40|Estuvimos visitando el palacio de gobierno, que para mi fue la visita mas interesante de Paraguay. Se encuentra en la costanera!|palacio
50|Es uno de los edificios mas importantes del pais, con mucha historia y simbolismo, se encuentra en el casco antiguo de la ciudad de Asuncion. De noche se puede apreciar una pintoresca iluminacion desde un bar que se encuentra en frente mismo y al aire libre.|palacio
40|Hermoso espacio externo y casualmente de color rosa. La foto de la web aparece blanca. Es enorme y muy custodiada. Enfrente casas de familias y detras muy cerca la costanera.Los alrededores estan abandonados. Construcciones muy antiguas sin mantenimiento.|palacio
30|El edificio del palacio del gobierno no es gran cosa , pero es de lo mas caracteristico de Asuncion. Buena vision de perspectiva desde la plaza. Visita obligada|palacio
40|Es una edificacion muy linda, pero el color real de este hermoso Palacio de Gobierno es rosado. Visitenlo es muy lindo|palacio
50|De todas las casas de Gobierno que he conocido , creo que es una de la mas bonitas , me gusta que en la parte delantera tenga jardin , le da un toque distinto.|palacio
40|el palacio de los lopez es uno de los edificios que mas nos llena de orgullo a los paraguayos, recomiendo el espectaculo de luces nocturno, lo disfrutaran|palacio
40|como casi todo el centro historico Asuncion tiene algunos edificios hermosos (muy pocos) pero el centro esta muy deteriorado y lleno de villas miseria. Una pena. No es zona muy atractiva para turismo. y es inseguro de noche. sugiero solo una corta visita temprano por la mañana al centro y alojarse en la zona de Manora o san jorge o cerca del hotel sheraton y del Shopping del sol.|palacio
50|Aunque las visitas dentro del Palacio de Lopez o Palacio de Gobierno no estan permitidas, es imperdible la visita al sitio no solo por las magniicas fotografias que se obtienen, junto al rio sino por el significado como una joya arquitectonica del siglo XIX.|palacio
50|Entre la fronda asunceña junto a un recodo del rio Paraguay se alza la blancura inmaculada del Palacio de los Lopez construido a mediados del siglo XIX por arquitectos ingleses y hungaros. Visita obligada sobre todo por las noches cuando se ilumina y resplandece.|palacio
20|El centro de Asuncion en general es sucio y descuidado, el edificio muy vigilado y no dejan apreciar el entorno.|palacio
30|El palacio de Gobierno normal lo curioso es que no tiene reja tiene su seguridad pero es accesible hasta cierto punto buen sitio para visitar|palacio
50|Originalmente era la residencia del Mariscal Lopez (quien fuera presidente de la Republica hasta la guerra de la Triple Alianza). Lo mas llamativo del edificio es que su frente es la cara que da hacia el rio, ya que estaba preparado para recibir a personajes ilustres que llegaran embarcados, y no en carretas. Excelente vista desde Casa clari que es un bar que esta en frente, o mismo desde la vereda.|palacio
50|Una arquitectura imponente, en uno de los puntos mas importantes del centro de Asuncion.Podes apreciar desde la terraza de Pirata bar o desde la calle, la iluminacion de noche es muy linda.,Si no visitaste este lugar, no podes decir que viniste a Asuncion!.|palacio
40|Sede del gobierno del Paraguay. se puede observar desde la calle del frente o desde la costanera- no se puede visitar no hacer visitas guiadas. Es una pena- Por lo que se puede observar de lejos faltaria obras de mantenimiento de su estructura un poco deteriorada por el paso del tiempo- Por los carteles indicadores es un monumento historico nacional|palacio
50|El Palacio Gobierno, tambien llamado Palacio de Lopez , es la sede del gobierno. Ahi se encuentra el despacho oficial del presidente de la Republica.Es uno de los edificios mas emblematicos de la capital paraguaya,Originalmente era la residencia del Mariscal Lopez.Lo mas llamativo del edificio es que su frente es la cara que da hacia el rio, Ya que estaba preparado para recibir a personajes ilustres que llegaran embarcados, y no en carretas.El Palacio fue designado como Tesoro del Patrimonio Cultural.|palacio
40|Es la sede del Gobierno de Paraguay en Asuncion, un bonito edificio situado en una gran plaza. Se puede ver el edificio desde la costanera por la parte de atras.|palacio
40|Es una construccion hermosa, su arquitectura es un gran ejemplo de arquitectura.Es posible hacer buenas fotografias.El lugar esta siempre custodiado por policia por lo que solo se puede observar desde la vereda, no se puede traspasar el jardin. Sin embargo vale la pena para ir a ver al menos una vez.|palacio
30|Solo se puede tener vistas por fuera, no hay acceso para turistas, se aprecia regularmente conservado, pero es una atractiva arquitectura.|palacio
30|Es un lugar muy lindo, pero descuidado en sus alrededores, como arquitectura es digna de verse y tomar fotos, es un paseo obligado cuando estas en Asuncion.|palacio
50|No voy a hablar del palacio... ya existiran muchos escritos. Voy a observar preguntando: que significa el letrero 3D. Reza Asuncion. Asi como leen y agrego... las 3 primeras en mayusculas y pintadas de rojo ... y mirandola desde las ventanas desde el palacio de gobierno se leeria noicnUSA.... mas o menos ver una de las fotos... tendra eso un significado esoterico - recordatorio?... he preguntado a muchos asunceños y las opiniones son variopintas... que misterio no?..|palacio
40|El palacio de gobierno esta enclavado frente a la costanera, en el casco historico de Asuncion. Todo el paisaje circundante es hermoso. Naturaleza pura, verdes y construcciones coloniales crean un entorno especial. Por la noche la iluminacion en diversos colores brindan un espectaculo interesante. Una mezcla de estilos que concilian si problemas. Recomendable paseo!|palacio
50|Es un paseo tipico que hay que hacer en Asuncion, ahora esta pintada de rosa y cerca esta el cartel de Asuncion lindo para fotos|palacio
30|A orillas del rio Paraguay se alza este majestuoso palacio que parece necesitar una puesta en valor urgente.|palacio
50|Una joya de la arqutectura de los años 1800 - contruido por arquitectos Franceses - una de las joyas arquitectonicas de la Ciudad de Asuncion - se puede acceder en la parte del frente para tomar fotos muy buenas - luego podras pasar a la Avda Costanera por la calle del costado.... Tienen que visitar este patrimonio cultural de Asuncion PY|palacio
40|Un hermoso edificio rodeado de mucha suciedad y abandono. Sin embarg todo se minimiza por la cordialidad y hermandad de los paraguaypos.|palacio
30|En la semana que visite Asuncion, el palacio de gobierno se encontro cerrado por protestas. Pero encontre un bar que tenia una linda vista al palacio, se encontraba en Manzana de Rivera.|palacio
40|EL Palacio de los Lopez es uno de los lugares caracteristicos y que es uno de los Iconos de la Ciudad de Asuncion.Es el lugar sede de la Presidencia de la Republica del Paraguay.Ya no es mas de color blanco como lucio durante muchisimas decadas, ahora es de un color rosa viejo o similar.Me gustaba mas el blanco pero segun me dijeron el color que luce actualmente es el original.Tal como se puede apreciar da la impresion de lucir desprolija.Se pueden sacar fotos en su alrededor pero los movimientos son limitados por la seguridad presidencial.Es uno de los sitios mas caracteristicos de la Ciudad de Asuncion.|palacio
40|El Palacio de Gobierno del Paraguay, antiguamente se ha hecho construir por el Mariscal Francisco Solano Lopez para su residencia. Actualmente es sede de la Primera Magistratura de la Nacion. aunque quizas no pueda recorrerse o ingresar en el interior para dicho menester, es admirable desde la Bahia de Asuncion, como asi tambien desde la Costanera si es que no hay posibilidades de observarlo desde el agua, una construccion bella de la epoca, con una fachada estupenda tanto del lado de la bahia, como asi en la calle el Paraguayo Independiente.|palacio
40|No entre pero pase por fuera para conocerlo.Es muy lindo y esta perfectamente cuidado.Si tienen tiempo pasen a verlo.|palacio
50|fiel testigo de la grandeza del pueblo paraguayo, hoy es lo unico fuerte que queda del Mariscal Francisco Solano Lopez el ultimo lider patriota|palacio
40|Sin duda es parte del recorrido civico de la ciudad, muy bien ubicado. Lugar para fotografiar frente a una plaza tambien muy linda y colorida.|palacio
30|Bonita construccion del Palacio de Gobierno, eso si, los guardias son muy celosos y no permiten acercarse mucho o tomar fotografias. A lo mas, transitar por el perimetro del area verde de la Sede de Gobierno, cercado por vallas papales. El area circundante, es bastante marginal con construcciones de viviendas penosamente muy precarias, contrastando con el edificio gubernamental. Falta mucho que mejorar del entorno.|palacio
50|Se la recomiendo a todas las personas que no son de paraguay ya que para nosotros representa la importancia del gobierno y la influencia que tiene en nuestro diario vivir, es un lugar con mucha historia.|palacio
30|Es uno de los atractivos que tiene esta ciudad. No podes estar en esta ciudad y no visitarlo. Queda en el centro viejo de Asuncion|palacio
40|Hermoso Palacio, sobre todo e la noche donde totalmente iluminado de manera que se luce mucho mas, enfrente hay una terraza que se puede tomar algo con esa linda vista|palacio
50|Obligado a ir si estas en Asuncion !Recomiendo tambien conocerlo de noche ,se luce mucho mas!Y se puede hacer tambien caminando un poco por la costanera !|palacio
40|Este recorrido lo recomiendo para fotografiar de dia y tomar alguna bebida por la noche en el restaurante de enfrente. No visites tan tarde o al menos ve en grupo|palacio
50|Un edificio historico unico en Paraguay. Es la actual sede del Gobierno de Paraguay.El Palacio fue designado como Tesoro del Patrimonio Cultural Material de Asuncion,1 con motivo de la eleccion de Asuncion como Capital Americana de la Cultura 2009 (Wikipedia)Los trabajos de construccion propiamente, comenzaron en 1857 bajo la direccion del arquitecto ingles Alonso Taylor, quien empleo en la obra piedras, madera y ladrillos regionales. Los marmoles y el granito fueron importados.Los ladrillos para la construccion se prepararon en las olerias publicas de Tacumbu. Las piedras de los cimientos fueron extraidas de las canteras del Estado existentes en Emboscada y Altos. El maderamen fue extraido de los bosques y obrajes de Yaguaron y Ñeembucu y de la fundicion la Rosada, de Ybycui, se trajeron las piezas de hierro.Si bien uno no puede acercarse mucho al edificio en si, es posible agendar visitas guiadas. Solo se pueden realizar los dias viernes de 08:00 - 17:00, previa solicitud via nota a Ceremonial de Estado. Tel: 021 414 0220|palacio
50|ademas esta pintado todo de blanco, le da prestancia y es la sede del gobierno,esta cerca de la costanera a orillas del rio paraguay, donde llegan barcos de muchos paises..se puede sacar fotos del frente y de noche esta iluminado, es hermoso recuerdo que vale la pena ir.|palacio
50|Es un lugar obligatorio para conocer si Ud esta viajando, forma parte de nuestra cultura, se encuentra ubicado dentro de lo que se llama el casco historico.|palacio
40|Hermosa la fachada del palacio de gobierno del Paraguay, construccion muy antigua y muy bien conservada.|palacio
50|casa residencial del Mariscal Lopez, muerto por los aliados en la guerra del 1865/70...actual sede del gobiernorazonablemente mantenido...este Palacio fue saqueado por los aliados cuando tomaron Asuncion y años despues de la guerra reacondicionado para el actual uso|palacio
40|Si bien es pequeño su arquitectura es muy linda y te puedes tomar una fotos muy buenas desde ambos frentes. Por la noche lo iluminan lo cual seria genial si no fuera por las luces de muchos colores y algunas quemadas que le restan elegancia. De todas formas, es un punto imperdible de la ciudad.|palacio
40|El Palacio de Lopez es un lugar emblematico, caracteristico y tradicional de Asuncion, y por ende de Paraguay. Es sede donde se encuentra y hace oficinas el Poder Ejecutivo. A la par de tener parte importante de la Republica moderna paraguaya. Un lugar recomendado para visitar paa todos.|palacio
40|Lugar historico, icono de Asuncion, del su arquitectura de la epoca colonial, vale la pena visitar, hay un restaurant en frente que se llama Casa Viola, recomendado|palacio
40|Es un atractivo de Asuncion con linda vista al rio cerca estan la costanera y otros atractivos clasicos de la ciudad|palacio
50|La vista al Palacio de Gobierno desde la bahia remonta a lo historico del Paraguay, los jardines y la explanada han sido refaccionados dando vida al antiguo frente. Aclaro que no es un hotel si no la casa de gobierno desde sus origenes, vale la pena visitarlo desde el lado de la hermosa costanera de Asuncion|palacio
40|Es uno de esos lugares que se debe pasar a ver si estas en Asuncion, de dia en la costanera o de noche pasando con el auto para verlo iluminado.Siempre es bueno tener algun amigo local para seguir sus recomendaciones.|palacio
